mRNA	logFC	FDR	Sub-0	Sub-1	Delta
XCL2	-0.21943289971623658	0.25190839034096313	35.22051282051282	30.323353293413174	7.728539257698015
C14orf126	-0.01719807597910882	0.811810652539439	446.3025641025641	436.0898203592814	7.675545407106981
EMCN	0.018272039215858186	0.885853936675657	419.89230769230767	430.18562874251495	7.672288712591038
TBC1D2B	-0.003343768090791715	0.9751640760749043	2292.8102564102564	2382.6586826347307	7.6666257736245855
C6orf122	0.10794296759975865	0.3516812193512782	71.0051282051282	78.91017964071857	7.664504253262862
TMEM161B	-0.017101325651848687	0.848528533460342	446.8666666666667	440.2874251497006	7.642012389622783
ZNF23	0.022691792228182545	0.7782777510471212	336.5692307692308	339.34730538922156	7.637359055014609
AK7	-0.15477211792587278	0.3663295166897167	49.343589743589746	44.952095808383234	7.637011890680759
BCMO1	0.22651279533747834	0.40507162223500237	33.65128205128205	37.78443113772455	7.62244596412581
RGPD5	-0.09600687067811994	0.6138405025769844	79.35897435897436	74.60479041916167	7.619006788430289
LOC100128640	0.2264317089720051	0.03186135893303568	33.56923076923077	39.75449101796407	7.601138291952541
NRL	0.08494046773454916	0.2883080510116352	89.12820512820512	93.8622754491018	7.570591431930587
NKAIN2	0.1568372021006213	0.6230308630748513	48.16923076923077	50.15568862275449	7.554727381185312
C20orf135	-0.04525967976427293	0.6574347327317885	166.73846153846154	164.10179640718562	7.5465293736183074
ERI2	0.011855316270255944	0.8798075228945731	636.0358974358975	626.0479041916168	7.540406723338636
DLEU1	-0.0442987798743289	0.6331953020929681	169.8153846153846	159.31736526946108	7.522614342351421
PITPNC1	0.01203818233930463	0.9094575717371379	622.4974358974359	620.6646706586827	7.493737639082929
ZXDA	-0.1408454048967915	0.18382013261848287	52.84615384615385	48.41916167664671	7.443137935699674
NMNAT1	0.01858251905238285	0.8299499962468874	397.9948717948718	403.0898203592814	7.3957472878788755
MGC23284	0.07162151144924697	0.5313896320211401	102.92307692307692	108.11377245508982	7.37150633223788
PIGO	-0.004523689477994932	0.9548115250673822	1625.6512820512821	1615.0179640718563	7.353941599504356
C9orf78	-0.003005059069882713	0.9593493486940249	2442.4358974358975	2430.4610778443116	7.339664146196867
NFIL3	-0.0035699916719037464	0.9733852360066511	2055.097435897436	2067.880239520958	7.33668073110459
NEU3	0.08809809261494922	0.5643406186759267	83.0923076923077	87.1497005988024	7.320273818666781
C1orf74	-0.04526572467385212	0.6578397596095873	157.46153846153845	147.2874251497006	7.127610646721176
SCN4B	0.05752554203978838	0.6877381236703933	123.78461538461538	130.26347305389223	7.120777096186727
SSX2IP	0.006311367664547705	0.9658161547992612	1127.051282051282	1122.754491017964	7.113235017825496
ZNF572	-0.069571889051468	0.5756229116130825	101.95897435897436	94.91017964071857	7.093478451904034
DHFR	-0.00817566485623396	0.9437430517783805	866.9948717948718	878.3053892215569	7.0882595038684
CLDN19	0.13358097970319333	0.686189994559756	52.98461538461538	57.98203592814371	7.077736832273812
C19orf39	-0.03738068670242429	0.5902191907101886	189.2051282051282	183.44910179640718	7.072617619927919
LOC100272228	0.17166859386477454	0.22010375166247523	40.56410256410256	45.550898203592816	6.963582448565982
DCST2	-0.11256898006965804	0.5624301183795865	61.251282051282054	57.616766467065865	6.894994348471773
KRT86	0.13727411225228625	0.623940691495697	50.16923076923077	55.16167664670659	6.886936616226238
TMEM38B	0.008840144381148107	0.9378598071437813	777.9794871794871	785.754491017964	6.877450992238229
HSD17B7P2	-0.06427592717630978	0.6054732471344588	106.94358974358974	104.1497005988024	6.873898386332124
LSM5	0.006472632163950778	0.9383020450900649	1054.3846153846155	1028.7664670658683	6.824643774713333
ASTN2	0.037618471638757436	0.7609230982529542	180.5948717948718	188.90419161676647	6.793703062720421
LOC150197	-0.15794031070167616	0.4487255787731026	42.97948717948718	37.74251497005988	6.7881935589269125
PTCD2	0.03667859262161213	0.6583241416895915	183.74871794871794	187.81437125748502	6.739644370384535
TTC37	-0.003565605895784365	0.9776097633462869	1886.502564102564	1870.7724550898204	6.7265246649764245
PCOTH	-0.2396525090364887	0.09054190657655713	28.05128205128205	23.748502994011975	6.722560125279965
C17orf101	0.007054200479546528	0.931259002993456	952.6205128205128	946.7664670658683	6.719976078364321
KLHL31	-0.12991287536297125	0.33381787107224753	51.58974358974359	47.880239520958085	6.702171928982004
SERP2	-0.07764559588348607	0.6456543058512836	85.68717948717949	78.62874251497006	6.653232110857276
NOXA1	0.017219376606913472	0.8789953326905141	383.81538461538463	389.97005988023955	6.6090616552196515
SLAMF9	-0.18884216852945787	0.38538295654675564	34.86666666666667	30.12574850299401	6.584296942727097
PCDHB3	-0.11727014753629611	0.6355082391859154	56.12820512820513	52.66467065868263	6.5821628963321075
PKIG	0.005052646767928024	0.9476247283678345	1283.8974358974358	1290.5209580838323	6.487080229838257
EMILIN3	0.15683456327784145	0.5083231655029357	41.246153846153845	39.56287425149701	6.468822525352199
ZNF846	-0.045201842762646605	0.6334331587081887	142.6871794871795	137.97005988023952	6.4497234514250215
C9orf93	0.22771133367103844	0.10441158851032423	28.117948717948718	33.59880239520958	6.402775602657968
FUK	-0.0066753659707019545	0.929846653629922	958.0820512820513	947.0838323353294	6.395548322268531
RGAG1	0.12889743496917944	0.6299755194820712	49.61538461538461	54.16766467065868	6.395295811932364
OSR1	-0.09886496430283519	0.6864801308330395	64.49743589743589	56.293413173652695	6.376536697624401
CCDC111	-0.027137303623861207	0.785237636814976	234.54358974358973	228.89221556886227	6.364880607902134
ACER2	-0.1575122533203384	0.33923342287774283	40.364102564102566	36.544910179640716	6.357840748125045
LRRC19	-0.23855460748894167	0.37949598683484487	26.641025641025642	27.550898203592816	6.355339414897703
KRT85	-0.21669866070346286	0.5799825301671008	29.26153846153846	20.904191616766468	6.340936194738251
FAM22A	-0.07347830360136308	0.5775417402023939	86.1025641025641	81.94610778443113	6.326670345984032
USE1	0.005896741757622835	0.9454211317190918	1070.7897435897437	1029.1916167664672	6.31417059465989
GPR89B	-0.11496300438651051	0.5183262711373113	54.86153846153846	49.23952095808383	6.307047286804561
